"id","company_code","property_dwid","status_code","sale_price","project_dwid","released_on","sold_on","sold_psf","property_size_sqft","price_psf","building_dwid","unit_type","unit_type_code","unit_group_dwid","stack_text","floor_text","list_price","bedroom_count","area_sqft_sqm_text","currency_symbol","address_unit_text","bathroom_count","country_text","data_source","block_text","project_text","updated_by","updated_on","created_by","created_on","floor_plan_url","estimated_monthly_rent","location_district_text","est_rental_yield","virtual_tour_url","model_3d_url","property_size_sqm","price_psm","source_dwid","sold_psm","transacted_price","floor_plan_2d_url","price1_label","price2_label","price2_psf","price2_psm","price1_psf","price1_psm","transacted_psf","transacted_psm","location_region_text","price1","price2","unit_count","last_activity_text"
545979,rea,d31a04bb62224dffac6012b7da2433e3,AVAILABLE,2150000,f7fea87e1a59592e817cd84c2b416bb4,,,,1496,,"7208296d2b62bd44d08690e905d7f1ac","5 Bedroom",C1,cc27c06cc681506f38c0c0365c66cc42,"11","03",,5,"1496/139",$,#03-11,3,Singapore,,BLK 7,Lumina Grand,,2024-01-24 15:44:09.705,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/31ba20f4ec3a3f6538e72a7fdceb9c8b.jpg,,D23,,,,139,,,,,,NPS Price,DPS Price,,,,,,,OCR,2150000,2215000,1,
546032,rea,a6cf58d7a5a86893df8fe8d85a698df9,AVAILABLE,1430000,f7fea87e1a59592e817cd84c2b416bb4,,,,969,,e9736d6e60649faf9317f5d973f173e3,"3 Bedroom Premium",A4P,"7ba1dfbcb2ca1180f6b2887eff78cc0c","03","04",,3,"969/90",$,#04-03,2,Singapore,,BLK 1,Lumina Grand,,2024-01-24 15:44:09.925,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/c1818422fbf24b3dd97673faafb2c27c.jpg,,D23,,,,90,,,,,,NPS Price,DPS Price,,,,,,,OCR,1430000,1474000,1,
546024,rea,"2c6e61da9894d68a0fca5bcfaf862428",AVAILABLE,1409000,f7fea87e1a59592e817cd84c2b416bb4,,,,969,,ef70dde149f9d4211a5e0a8264f1e087,"3 Bedroom Premium",A5P,a8d6097c61fade2d8bdb602b1c07dfc7,"13","04",,3,"969/90",$,#04-13,2,Singapore,,BLK 9,Lumina Grand,,2024-01-24 15:44:09.988,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/be9408ae7606813c4668ad14601e1217.jpg,,D23,,,,90,,,,,,NPS Price,DPS Price,,,,,,,OCR,1409000,1452000,1,
546030,rea,bc683fb7ae7b31c31c13c56d2b1652e7,AVAILABLE,1446000,f7fea87e1a59592e817cd84c2b416bb4,,,,980,,"9cff42494f1e706fe06a7701f72bdb49","3 Bedroom Premium",A6P,d7904b5edda89869d7d20d47e3b89c97,"34","04",,3,"980/91",$,#04-34,2,Singapore,,BLK 19,Lumina Grand,,2024-01-24 15:44:10.157,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/1b28c3ab98f8e847f0d00af96f260561.jpg,,D23,,,,91,,,,,,NPS Price,DPS Price,,,,,,,OCR,1446000,1490000,1,
546027,rea,"7b74d73bf8617ad9aac2e8a72f3c070f",AVAILABLE,1680000,f7fea87e1a59592e817cd84c2b416bb4,,,,1141,,"6bc3afe745f55ada53a4927210305d33","4 Bedroom",B1,c68cd0931b8fc2b42f4a6e85a4a07838,"23","05",,4,"1141/106",$,#05-23,2,Singapore,,BLK 13,Lumina Grand,,2024-01-24 15:44:10.349,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/2896cb258f969567b806bd36020b8823.jpg,,D23,,,,106,,,,,,NPS Price,DPS Price,,,,,,,OCR,1680000,1731000,1,
546022,rea,"3b1f2e757b095556677c28e399180db1",AVAILABLE,2148000,f7fea87e1a59592e817cd84c2b416bb4,,,,1496,,"368ecf4a04b1f4517d4f8728a7f5711b","5 Bedroom",C1,cc27c06cc681506f38c0c0365c66cc42,"07","07",,5,"1496/139",$,#07-07,3,Singapore,,BLK 5,Lumina Grand,,2024-01-24 15:44:10.823,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/31ba20f4ec3a3f6538e72a7fdceb9c8b.jpg,,D23,,,,139,,,,,,NPS Price,DPS Price,,,,,,,OCR,2148000,2213000,1,
546028,rea,d1efe6e3b6685b6360d622c0d48146bd,AVAILABLE,1862000,f7fea87e1a59592e817cd84c2b416bb4,,,,1270,,"8d57afe1bf3693f8e53e3ab917071694","4 Bedroom",B4,d9029e49fa4e1f79cafc12fa59748961,"25","07",,4,"1270/118",$,#07-25,2,Singapore,,BLK 15,Lumina Grand,,2024-01-24 15:44:10.944,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/e7bad912d8810d5a5d3d31d078563871.jpg,,D23,,,,118,,,,,,NPS Price,DPS Price,,,,,,,OCR,1862000,1919000,1,
546020,rea,"5eba01c7a9b2616f853f49cf322453c4",AVAILABLE,1711000,f7fea87e1a59592e817cd84c2b416bb4,,,,1152,,"8d57afe1bf3693f8e53e3ab917071694","4 Bedroom",B2,a8f625c2e5a3075c2f6fa3b86637dc30,"28","08",,4,"1152/107",$,#08-28,2,Singapore,,BLK 15,Lumina Grand,,2024-01-24 15:44:11.241,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/efc2f1351ddfcd3151fb8157dacdc1f8.jpg,,D23,,,,107,,,,,,NPS Price,DPS Price,,,,,,,OCR,1711000,1763000,1,
546031,rea,"8cd58c7c1ec22e6ebd9d259a8b18adc6",AVAILABLE,1460000,f7fea87e1a59592e817cd84c2b416bb4,,,,969,,e9736d6e60649faf9317f5d973f173e3,"3 Bedroom Premium",A3P,"563bcff4ff6d730c16e036b2d0144e5e","01","09",,3,"969/90",$,#09-01,2,Singapore,,BLK 1,Lumina Grand,,2024-01-24 15:44:11.349,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/328fae007abdb89c3e920d26df207f56.jpg,,D23,,,,90,,,,,,NPS Price,DPS Price,,,,,,,OCR,1460000,1505000,1,
546034,rea,"0d8327105ee2bdbdcf4c67ca2a48605e",AVAILABLE,1886000,f7fea87e1a59592e817cd84c2b416bb4,,,,1270,,fce248a56374db1f1de9804b8b149d05,"4 Bedroom",B4,d9029e49fa4e1f79cafc12fa59748961,"17","10",,4,"1270/118",$,#10-17,2,Singapore,,BLK 11,Lumina Grand,,2024-01-24 15:44:11.730,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/e7bad912d8810d5a5d3d31d078563871.jpg,,D23,,,,118,,,,,,NPS Price,DPS Price,,,,,,,OCR,1886000,1943000,1,
